,timestamp,costs_[cent],heat_pump_electrical_power_[watt],heat_pump_modulation_degree,price_factor,room_1_air_temperature_[degree_celsius],room_1_heat_flow_[watt],room_2_air_temperature_[degree_celsius],room_2_heat_flow_[watt],room_3_air_temperature_[degree_celsius],room_3_heat_flow_[watt],room_4_air_temperature_[degree_celsius],room_4_heat_flow_[watt],room_5_air_temperature_[degree_celsius],room_5_heat_flow_[watt],storage_1,storage_2,storage_3,storage_4,storage_5,storage_average,storage_factor,storage_total,thermal_discomfort_[kelvin]
366,2022-06-30 19:30:00+00:00,0.0,0.0,0.0,0.42,27.4,0.0,28.1,0.0,27.3,0.0,27.2,0.0,27.1,0.0,0.8,0.4,0.8,0.9,0.9,0.38,0.24,1.9,0.0
367,2022-06-30 19:45:00+00:00,0.0,0.0,0.0,0.42,27.3,0.0,28.1,0.0,27.3,0.0,27.1,0.0,27.0,0.0,0.8,0.45,0.85,0.9,0.95,0.39,0.21,1.97,0.0
368,2022-06-30 20:00:00+00:00,0.0,0.0,0.0,0.54,27.3,0.0,28.0,0.0,27.2,0.0,27.1,0.0,27.0,0.0,0.85,0.45,0.85,0.95,1.0,0.41,0.18,2.05,0.0
369,2022-06-30 20:15:00+00:00,0.0,0.0,0.0,0.54,27.2,0.0,28.0,0.0,27.2,0.0,27.0,0.0,26.9,0.0,0.85,0.5,0.9,0.95,1.0,0.42,0.16,2.1,0.0
370,2022-06-30 20:30:00+00:00,0.0,0.0,0.0,0.54,27.2,0.0,27.9,0.0,27.1,0.0,26.9,0.0,26.8,0.0,0.9,0.5,0.9,1.0,1.0,0.44,0.14,2.18,0.0
371,2022-06-30 20:45:00+00:00,0.0,0.0,0.0,0.54,27.1,0.0,27.9,0.0,27.1,0.0,26.8,0.0,26.7,0.0,0.9,0.55,0.95,1.0,1.0,0.46,0.12,2.28,0.0
372,2022-06-30 21:00:00+00:00,0.0,0.0,0.0,0.75,27.1,0.0,27.8,0.0,27.0,0.0,26.8,0.0,26.6,0.0,0.95,0.55,0.95,1.0,1.0,0.47,0.11,2.35,0.0
373,2022-06-30 21:15:00+00:00,0.0,0.0,0.0,0.75,27.0,0.0,27.8,0.0,27.0,0.0,26.7,0.0,26.5,0.0,0.95,0.6,1.0,1.0,1.0,0.48,0.09,2.42,0.0
374,2022-06-30 21:30:00+00:00,0.0,0.0,0.0,0.75,27.0,0.0,27.7,0.0,26.9,0.0,26.6,0.0,26.4,0.0,1.0,0.6,1.0,1.0,1.0,0.5,0.08,2.5,0.0
375,2022-06-30 21:45:00+00:00,0.0,0.0,0.0,0.75,26.9,0.0,27.6,0.0,26.9,0.0,26.5,0.0,26.3,0.0,1.0,0.65,1.0,1.0,1.0,0.52,0.07,2.6,0.0
376,2022-06-30 22:00:00+00:00,0.0,0.0,0.0,0.79,26.8,0.0,27.6,0.0,26.8,0.0,26.4,0.0,26.2,0.0,1.0,0.7,1.0,1.0,1.0,0.54,0.06,2.7,0.0
377,2022-06-30 22:15:00+00:00,0.0,0.0,0.0,0.79,26.8,0.0,27.5,0.0,26.7,0.0,26.3,0.0,26.1,0.0,1.0,0.7,1.0,1.0,1.0,0.56,0.06,2.8,0.0
378,2022-06-30 22:30:00+00:00,0.0,0.0,0.0,0.79,26.7,0.0,27.4,0.0,26.7,0.0,26.2,0.0,26.0,0.0,1.0,0.75,1.0,1.0,1.0,0.58,0.05,2.9,0.0
379,2022-06-30 22:45:00+00:00,0.0,0.0,0.0,0.79,26.7,0.0,27.4,0.0,26.6,0.0,26.2,0.0,26.0,0.0,1.0,0.8,1.0,1.0,1.0,0.6,0.04,3.0,0.0
380,2022-06-30 23:00:00+00:00,0.0,0.0,0.0,0.92,26.6,0.0,27.3,0.0,26.6,0.0,26.1,0.0,25.9,0.0,1.0,0.8,1.0,1.0,1.0,0.61,0.04,3.03,0.0
381,2022-06-30 23:15:00+00:00,0.0,0.0,0.0,0.92,26.6,0.0,27.3,0.0,26.5,0.0,26.0,0.0,25.8,0.0,1.0,0.85,1.0,1.0,1.0,0.62,0.03,3.12,0.0
382,2022-06-30 23:30:00+00:00,0.0,0.0,0.0,0.92,26.5,0.0,27.2,0.0,26.4,0.0,25.9,0.0,25.7,0.0,1.0,0.85,1.0,1.0,1.0,0.64,0.03,3.2,0.0
383,2022-06-30 23:45:00+00:00,0.0,0.0,0.0,0.92,26.4,0.0,27.1,0.0,26.4,0.0,25.8,0.0,25.6,0.0,1.0,0.9,1.0,1.0,1.0,0.67,0.02,3.33,0.0
384,2022-07-01 00:00:00+00:00,0.0,0.0,0.0,0.92,26.4,0.0,27.1,0.0,26.3,0.0,25.7,0.0,25.5,0.0,1.0,0.95,1.0,1.0,1.0,0.68,0.01,3.42,0.0
385,2022-07-01 00:15:00+00:00,0.0,0.0,0.0,0.92,26.3,0.0,27.0,0.0,26.2,0.0,25.6,0.0,25.4,0.0,1.0,0.95,1.0,1.0,1.0,0.7,0.01,3.5,0.0
386,2022-07-01 00:30:00+00:00,0.0,0.0,0.0,0.92,26.2,0.0,26.9,0.0,26.2,0.0,25.6,0.0,25.3,0.0,1.0,1.0,1.0,1.0,1.0,0.72,0.0,3.62,0.0
387,2022-07-01 00:45:00+00:00,0.0,0.0,0.0,0.92,26.2,0.0,26.9,0.0,26.1,0.0,25.5,0.0,25.2,0.0,1.0,1.0,1.0,1.0,1.0,0.74,0.0,3.7,0.0
388,2022-07-01 01:00:00+00:00,0.0,0.0,0.0,0.96,26.1,0.0,26.8,0.0,26.1,0.0,25.4,0.0,25.1,0.0,1.0,1.0,1.0,1.0,1.0,0.76,0.0,3.78,0.0
389,2022-07-01 01:15:00+00:00,0.0,0.0,0.0,0.96,26.1,0.0,26.7,0.0,26.0,0.0,25.3,0.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.77,0.0,3.87,0.0
390,2022-07-01 01:30:00+00:00,0.0,0.0,0.0,0.96,26.0,0.0,26.7,0.0,25.9,0.0,25.2,0.0,24.9,0.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,3.97,0.0
391,2022-07-01 01:45:00+00:00,0.0,0.0,0.0,0.96,25.9,0.0,26.6,0.0,25.9,0.0,25.1,0.0,24.8,0.0,1.0,1.0,1.0,1.0,1.0,0.81,0.0,4.05,0.0
392,2022-07-01 02:00:00+00:00,0.0,0.0,0.0,1.0,25.9,0.0,26.6,0.0,25.8,0.0,25.1,0.0,24.7,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.0,4.12,0.0
393,2022-07-01 02:15:00+00:00,0.0,0.0,0.0,1.0,25.8,0.0,26.5,0.0,25.8,0.0,25.0,0.0,24.6,0.0,1.0,1.0,1.0,1.0,1.0,0.83,0.0,4.15,0.0
394,2022-07-01 02:30:00+00:00,0.0,0.0,0.0,1.0,25.8,0.0,26.4,0.0,25.7,0.0,24.9,0.0,24.5,0.0,1.0,1.0,1.0,1.0,1.0,0.84,0.0,4.22,0.0
395,2022-07-01 02:45:00+00:00,0.0,0.0,0.0,1.0,25.7,0.0,26.4,0.0,25.7,0.0,24.8,0.0,24.4,0.0,1.0,1.0,1.0,1.0,1.0,0.86,0.0,4.28,0.0
396,2022-07-01 03:00:00+00:00,0.0,0.0,0.0,0.92,25.7,0.0,26.3,0.0,25.6,0.0,24.7,0.0,24.3,0.0,1.0,1.0,1.0,1.0,1.0,0.86,0.0,4.3,0.0
397,2022-07-01 03:15:00+00:00,0.0,0.0,0.0,0.92,25.6,0.0,26.2,0.0,25.5,0.0,24.6,0.0,24.3,0.0,1.0,1.0,1.0,1.0,1.0,0.87,0.0,4.35,0.0
398,2022-07-01 03:30:00+00:00,0.0,0.0,0.0,0.92,25.5,0.0,26.2,0.0,25.5,0.0,24.6,0.0,24.2,0.0,1.0,1.0,1.0,1.0,1.0,0.88,0.0,4.42,0.0
399,2022-07-01 03:45:00+00:00,0.0,0.0,0.0,0.92,25.5,0.0,26.1,0.0,25.4,0.0,24.5,0.0,24.1,0.0,1.0,1.0,1.0,1.0,1.0,0.89,0.0,4.45,0.0
400,2022-07-01 04:00:00+00:00,0.0,0.0,0.0,0.83,25.4,0.0,26.1,0.0,25.4,0.0,24.4,0.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0,4.5,0.0
401,2022-07-01 04:15:00+00:00,0.0,0.0,0.0,0.83,25.4,0.0,26.0,0.0,25.3,0.0,24.3,0.0,23.9,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0,4.53,0.0
402,2022-07-01 04:30:00+00:00,0.0,0.0,0.0,0.83,25.3,0.0,25.9,0.0,25.3,0.0,24.3,0.0,23.8,0.0,1.0,1.0,1.0,1.0,1.0,0.92,0.0,4.58,0.0
403,2022-07-01 04:45:00+00:00,0.0,0.0,0.0,0.83,25.3,0.0,25.9,0.0,25.2,0.0,24.2,0.0,23.8,0.0,1.0,1.0,1.0,1.0,1.0,0.92,0.0,4.62,0.0
404,2022-07-01 05:00:00+00:00,0.0,0.0,0.0,0.42,25.2,0.0,25.8,0.0,25.2,0.0,24.1,0.0,23.7,0.0,1.0,1.0,1.0,1.0,1.0,0.93,0.0,4.65,0.0
405,2022-07-01 05:15:00+00:00,0.0,0.0,0.0,0.42,25.2,0.0,25.8,0.0,25.1,0.0,24.1,0.0,23.6,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.0,4.7,0.0
406,2022-07-01 05:30:00+00:00,0.0,0.0,0.0,0.42,25.1,0.0,25.7,0.0,25.0,0.0,24.0,0.0,23.5,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.0,4.72,0.0
407,2022-07-01 05:45:00+00:00,0.0,0.0,0.0,0.42,25.1,0.0,25.7,0.0,25.0,0.0,23.9,0.0,23.4,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.0,4.8,0.0
408,2022-07-01 06:00:00+00:00,0.0,0.0,0.0,0.21,25.0,0.0,25.6,0.0,24.9,0.0,23.8,0.0,23.4,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.0,4.8,0.0
409,2022-07-01 06:15:00+00:00,0.0,0.0,0.0,0.21,25.0,0.0,25.6,0.0,24.9,0.0,23.8,0.0,23.3,0.0,1.0,1.0,1.0,1.0,1.0,0.97,0.0,4.85,0.0
410,2022-07-01 06:30:00+00:00,0.0,0.0,0.0,0.21,24.9,0.0,25.5,0.0,24.9,0.0,23.7,0.0,23.2,0.0,1.0,1.0,1.0,1.0,1.0,0.97,0.0,4.85,0.0
411,2022-07-01 06:45:00+00:00,0.0,0.0,0.0,0.21,24.9,0.0,25.5,0.0,24.8,0.0,23.7,0.0,23.2,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.88,0.0
412,2022-07-01 07:00:00+00:00,0.0,0.0,0.0,0.42,24.8,0.0,25.4,0.0,24.8,0.0,23.6,0.0,23.1,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.88,0.0
413,2022-07-01 07:15:00+00:00,0.0,0.0,0.0,0.42,24.8,0.0,25.4,0.0,24.7,0.0,23.5,0.0,23.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.9,0.0
414,2022-07-01 07:30:00+00:00,0.0,0.0,0.0,0.42,24.8,0.0,25.4,0.0,24.7,0.0,23.5,0.0,23.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.9,0.0
415,2022-07-01 07:45:00+00:00,0.0,0.0,0.0,0.42,24.7,0.0,25.3,0.0,24.7,0.0,23.4,0.0,22.9,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.9,0.0
416,2022-07-01 08:00:00+00:00,0.0,0.0,0.0,0.46,24.7,0.0,25.3,0.0,24.6,0.0,23.4,0.0,22.9,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.92,0.1
417,2022-07-01 08:15:00+00:00,0.0,0.0,0.0,0.46,24.6,-0.0,25.2,0.0,24.6,0.0,23.3,0.0,22.8,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.92,0.2
418,2022-07-01 08:30:00+00:00,0.0,0.0,0.0,0.46,24.6,-0.0,25.2,0.0,24.5,0.0,23.3,0.0,22.7,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.95,0.3
419,2022-07-01 08:45:00+00:00,0.0,0.0,0.0,0.46,24.6,-0.0,25.1,0.0,24.5,0.0,23.2,0.0,22.7,-0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.95,0.3
420,2022-07-01 09:00:00+00:00,0.0,0.0,0.0,0.29,24.6,-0.0,25.2,0.0,24.5,0.0,23.2,0.0,22.7,-0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.97,0.3
421,2022-07-01 09:15:00+00:00,0.0,0.0,0.0,0.29,24.6,-0.0,25.2,0.0,24.5,0.0,23.2,0.0,22.7,-0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.95,0.3
422,2022-07-01 09:30:00+00:00,0.0,0.0,0.0,0.29,24.7,-0.0,25.2,0.0,24.5,0.0,23.2,0.0,22.7,-0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.95,0.2
423,2022-07-01 09:45:00+00:00,0.0,0.0,0.0,0.29,24.7,-0.0,25.3,0.0,24.6,0.0,23.3,0.0,22.7,-0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.95,0.2
424,2022-07-01 10:00:00+00:00,0.0,0.0,0.0,0.5,24.6,-0.0,25.2,0.0,24.5,0.0,23.2,0.0,22.6,-0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.92,0.4
425,2022-07-01 10:15:00+00:00,0.0,0.0,0.0,0.5,24.8,-0.0,25.3,0.0,24.6,0.0,23.3,0.0,22.7,-0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.95,0.1
426,2022-07-01 10:30:00+00:00,0.0,0.0,0.0,0.5,24.8,0.0,25.4,0.0,24.6,0.0,23.3,0.0,22.8,-0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.92,0.0
427,2022-07-01 10:45:00+00:00,0.0,0.0,0.0,0.5,24.9,0.0,25.4,0.0,24.7,0.0,23.4,0.0,22.8,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.9,0.0
428,2022-07-01 11:00:00+00:00,0.0,0.0,0.0,0.62,24.8,0.0,25.4,0.0,24.6,0.0,23.3,0.0,22.8,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.9,0.0
429,2022-07-01 11:15:00+00:00,0.0,0.0,0.0,0.62,25.0,0.0,25.6,0.0,24.8,0.0,23.5,0.0,22.9,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.9,0.0
430,2022-07-01 11:30:00+00:00,0.0,0.0,0.0,0.62,25.2,0.0,25.7,0.0,24.9,0.0,23.6,0.0,23.1,0.0,1.0,1.0,1.0,1.0,1.0,0.97,0.0,4.85,0.0
431,2022-07-01 11:45:00+00:00,0.0,0.0,0.0,0.62,25.3,0.0,25.8,0.0,25.0,0.0,23.8,0.0,23.2,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.0,4.78,0.0
432,2022-07-01 12:00:00+00:00,0.0,0.0,0.0,0.71,25.4,0.0,25.9,0.0,25.1,0.0,23.8,0.0,23.3,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.0,4.72,1.0
433,2022-07-01 12:15:00+00:00,0.0,0.0,0.0,0.71,25.4,0.0,25.9,0.0,25.1,0.0,23.8,-0.0,23.3,0.0,1.0,1.0,1.0,1.0,1.0,0.93,0.0,4.65,1.0
434,2022-07-01 12:30:00+00:00,0.0,0.0,0.0,0.71,25.3,0.0,25.9,0.0,25.0,0.0,23.8,-0.0,23.3,0.0,1.0,1.0,1.0,1.0,1.0,0.93,0.0,4.65,1.0
435,2022-07-01 12:45:00+00:00,0.0,0.0,0.0,0.71,25.5,0.0,26.0,0.0,25.1,0.0,23.9,-0.0,23.4,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.0,4.7,0.9
436,2022-07-01 13:00:00+00:00,0.0,0.0,0.0,0.83,25.6,0.0,26.1,0.0,25.2,0.0,24.1,-0.0,23.5,0.0,1.0,1.0,1.0,1.0,1.0,0.79,0.0,3.93,0.7
437,2022-07-01 13:15:00+00:00,0.0,0.0,0.0,0.83,25.6,0.0,26.1,0.0,25.2,0.0,24.0,0.0,23.5,0.0,1.0,1.0,1.0,1.0,1.0,0.77,0.0,3.85,0.0
438,2022-07-01 13:30:00+00:00,0.0,0.0,0.0,0.83,25.6,0.0,26.1,0.0,25.2,0.0,24.1,0.0,23.5,0.0,1.0,1.0,1.0,1.0,1.0,0.77,0.0,3.85,0.0
439,2022-07-01 13:45:00+00:00,0.0,0.0,0.0,0.83,25.6,0.0,26.1,0.0,25.2,0.0,24.1,0.0,23.6,0.0,1.0,1.0,1.0,1.0,1.0,0.77,0.0,3.85,0.0
440,2022-07-01 14:00:00+00:00,0.0,0.0,0.0,0.71,25.8,0.0,26.3,0.0,25.4,0.0,24.2,0.0,23.7,0.0,1.0,1.0,1.0,1.0,1.0,0.77,0.0,3.85,0.0
441,2022-07-01 14:15:00+00:00,0.0,0.0,0.0,0.71,25.7,0.0,26.2,0.0,25.3,0.0,24.2,0.0,23.7,0.0,1.0,0.9,1.0,1.0,1.0,0.74,0.02,3.68,0.0
442,2022-07-01 14:30:00+00:00,0.0,0.0,0.0,0.71,25.8,0.0,26.3,0.0,25.4,0.0,24.3,0.0,23.7,0.0,1.0,0.95,1.0,1.0,1.0,0.75,0.01,3.75,0.0
443,2022-07-01 14:45:00+00:00,0.0,0.0,0.0,0.71,25.8,0.0,26.3,0.0,25.4,0.0,24.3,0.0,23.8,0.0,1.0,0.9,1.0,1.0,1.0,0.73,0.02,3.65,0.0
444,2022-07-01 15:00:00+00:00,0.0,0.0,0.0,0.42,26.0,0.0,26.5,0.0,25.5,0.0,24.4,0.0,23.9,0.0,1.0,0.9,1.0,1.0,1.0,0.73,0.02,3.65,0.0
445,2022-07-01 15:15:00+00:00,0.0,0.0,0.0,0.42,25.9,0.0,26.4,0.0,25.5,0.0,24.4,0.0,23.9,0.0,1.0,0.8,1.0,1.0,1.0,0.7,0.04,3.5,0.0
446,2022-07-01 15:30:00+00:00,0.0,0.0,0.0,0.42,25.9,0.0,26.4,0.0,25.5,0.0,24.4,0.0,23.9,0.0,1.0,0.85,1.0,1.0,1.0,0.71,0.03,3.55,0.0
447,2022-07-01 15:45:00+00:00,0.0,0.0,0.0,0.42,25.9,0.0,26.4,0.0,25.5,0.0,24.4,0.0,23.9,0.0,1.0,0.85,1.0,1.0,1.0,0.71,0.03,3.55,0.0
448,2022-07-01 16:00:00+00:00,0.0,0.0,0.0,0.17,26.1,0.0,26.5,0.0,25.6,0.0,24.5,0.0,24.0,0.0,1.0,0.85,1.0,1.0,1.0,0.71,0.03,3.55,0.0
449,2022-07-01 16:15:00+00:00,0.0,0.0,0.0,0.17,26.1,0.0,26.5,0.0,25.6,0.0,24.6,0.0,24.1,0.0,1.0,0.8,1.0,1.0,1.0,0.69,0.04,3.43,0.0
450,2022-07-01 16:30:00+00:00,0.0,0.0,0.0,0.17,26.1,0.0,26.6,0.0,25.6,0.0,24.6,0.0,24.1,0.0,1.0,0.8,1.0,1.0,1.0,0.68,0.04,3.4,0.0
451,2022-07-01 16:45:00+00:00,0.0,0.0,0.0,0.17,26.1,0.0,26.6,0.0,25.6,0.0,24.6,0.0,24.1,0.0,1.0,0.75,1.0,1.0,1.0,0.68,0.05,3.38,0.0
452,2022-07-01 17:00:00+00:00,0.0,0.0,0.0,0.04,26.2,0.0,26.6,0.0,25.7,0.0,24.7,0.0,24.2,0.0,1.0,0.75,1.0,1.0,1.0,0.68,0.05,3.38,0.0
453,2022-07-01 17:15:00+00:00,0.0,0.0,0.0,0.04,26.2,0.0,26.6,0.0,25.7,0.0,24.7,0.0,24.2,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.0,4.12,0.0
454,2022-07-01 17:30:00+00:00,0.0,0.0,0.0,0.04,26.1,0.0,26.6,0.0,25.6,0.0,24.7,0.0,24.2,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.0,4.12,0.0
455,2022-07-01 17:45:00+00:00,0.0,0.0,0.0,0.04,26.1,0.0,26.6,0.0,25.6,0.0,24.6,0.0,24.1,0.0,1.0,1.0,1.0,1.0,1.0,0.83,0.0,4.17,0.0
456,2022-07-01 18:00:00+00:00,0.0,0.0,0.0,0.17,26.1,0.0,26.6,0.0,25.6,0.0,24.6,0.0,24.1,0.0,1.0,1.0,1.0,1.0,1.0,0.83,0.0,4.17,0.0
457,2022-07-01 18:15:00+00:00,0.0,0.0,0.0,0.17,26.1,0.0,26.6,0.0,25.6,0.0,24.6,0.0,24.1,0.0,1.0,1.0,1.0,1.0,1.0,0.83,0.0,4.17,0.0
458,2022-07-01 18:30:00+00:00,0.0,0.0,0.0,0.17,26.1,0.0,26.5,0.0,25.6,0.0,24.6,0.0,24.1,0.0,1.0,1.0,1.0,1.0,1.0,0.83,0.0,4.17,0.0
459,2022-07-01 18:45:00+00:00,0.0,0.0,0.0,0.17,26.1,0.0,26.5,0.0,25.6,0.0,24.6,0.0,24.1,0.0,1.0,1.0,1.0,1.0,1.0,0.84,0.0,4.2,0.0
460,2022-07-01 19:00:00+00:00,0.0,0.0,0.0,0.17,26.0,0.0,26.5,0.0,25.5,0.0,24.5,0.0,24.1,0.0,1.0,1.0,1.0,1.0,1.0,0.84,0.0,4.2,0.0
461,2022-07-01 19:15:00+00:00,0.0,0.0,0.0,0.17,26.0,0.0,26.4,0.0,25.5,0.0,24.5,0.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.85,0.0,4.25,0.0
462,2022-07-01 19:30:00+00:00,0.0,0.0,0.0,0.17,25.9,0.0,26.4,0.0,25.4,0.0,24.4,0.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.86,0.0,4.28,0.0
463,2022-07-01 19:45:00+00:00,0.0,0.0,0.0,0.17,25.9,0.0,26.3,0.0,25.4,0.0,24.4,0.0,23.9,0.0,1.0,1.0,1.0,1.0,1.0,0.87,0.0,4.33,0.0
464,2022-07-01 20:00:00+00:00,0.0,0.0,0.0,0.25,25.8,0.0,26.3,0.0,25.3,0.0,24.3,0.0,23.8,0.0,1.0,1.0,1.0,1.0,1.0,0.87,0.0,4.35,0.0
465,2022-07-01 20:15:00+00:00,0.0,0.0,0.0,0.25,25.7,0.0,26.2,0.0,25.3,0.0,24.2,0.0,23.7,0.0,1.0,1.0,1.0,1.0,1.0,0.88,0.0,4.4,0.0
466,2022-07-01 20:30:00+00:00,0.0,0.0,0.0,0.25,25.7,0.0,26.1,0.0,25.2,0.0,24.1,0.0,23.6,0.0,1.0,1.0,1.0,1.0,1.0,0.89,0.0,4.45,0.0
467,2022-07-01 20:45:00+00:00,0.0,0.0,0.0,0.25,25.6,0.0,26.1,0.0,25.1,0.0,24.1,0.0,23.5,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0,4.5,0.0
468,2022-07-01 21:00:00+00:00,0.0,0.0,0.0,0.54,25.6,0.0,26.0,0.0,25.1,0.0,24.0,0.0,23.5,0.0,1.0,1.0,1.0,1.0,1.0,0.91,0.0,4.55,0.0
469,2022-07-01 21:15:00+00:00,0.0,0.0,0.0,0.54,25.5,0.0,25.9,0.0,25.0,0.0,23.9,0.0,23.4,0.0,1.0,1.0,1.0,1.0,1.0,0.91,0.0,4.57,0.0
470,2022-07-01 21:30:00+00:00,0.0,0.0,0.0,0.54,25.4,0.0,25.9,0.0,25.0,0.0,23.8,0.0,23.3,0.0,1.0,1.0,1.0,1.0,1.0,0.93,0.0,4.65,0.0
471,2022-07-01 21:45:00+00:00,0.0,0.0,0.0,0.54,25.4,0.0,25.8,0.0,24.9,0.0,23.7,0.0,23.2,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.0,4.68,0.0
472,2022-07-01 22:00:00+00:00,0.0,0.0,0.0,0.58,25.3,0.0,25.7,0.0,24.8,0.0,23.6,0.0,23.1,0.0,1.0,1.0,1.0,1.0,1.0,0.94,0.0,4.7,0.0
473,2022-07-01 22:15:00+00:00,0.0,0.0,0.0,0.58,25.2,0.0,25.7,0.0,24.8,0.0,23.6,0.0,23.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95,0.0,4.75,0.0
474,2022-07-01 22:30:00+00:00,0.0,0.0,0.0,0.58,25.2,0.0,25.6,0.0,24.7,0.0,23.5,0.0,22.9,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.0,4.78,0.0
475,2022-07-01 22:45:00+00:00,0.0,0.0,0.0,0.58,25.1,0.0,25.5,0.0,24.6,0.0,23.4,0.0,22.8,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.0,4.8,0.0
476,2022-07-01 23:00:00+00:00,0.0,0.0,0.0,0.83,25.0,0.0,25.4,0.0,24.6,0.0,23.3,0.0,22.7,0.0,1.0,1.0,1.0,1.0,1.0,0.97,0.0,4.85,0.0
477,2022-07-01 23:15:00+00:00,0.0,0.0,0.0,0.83,25.0,0.0,25.4,0.0,24.5,0.0,23.2,0.0,22.6,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.9,0.0
478,2022-07-01 23:30:00+00:00,0.0,0.0,0.0,0.83,24.9,0.0,25.3,0.0,24.4,0.0,23.1,0.0,22.5,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.9,0.0
479,2022-07-01 23:45:00+00:00,0.0,0.0,0.0,0.83,24.8,0.0,25.2,0.0,24.4,0.0,23.0,0.0,22.4,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,4.92,0.0
480,2022-07-02 00:00:00+00:00,0.0,0.0,0.0,1.0,24.7,0.0,25.2,0.0,24.3,0.0,22.9,0.0,22.3,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.95,0.0
481,2022-07-02 00:15:00+00:00,0.0,0.0,0.0,1.0,24.7,0.0,25.1,0.0,24.2,0.0,22.8,0.0,22.2,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.95,0.0
482,2022-07-02 00:30:00+00:00,0.0,0.0,0.0,1.0,24.6,0.0,25.0,0.0,24.2,0.0,22.7,0.0,22.1,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,4.97,0.0
483,2022-07-02 00:45:00+00:00,0.0,0.0,0.0,1.0,24.5,0.0,24.9,0.0,24.1,0.0,22.7,0.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0
484,2022-07-02 01:00:00+00:00,0.0,0.0,0.0,1.0,24.5,0.0,24.9,0.0,24.0,0.0,22.6,0.0,21.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0
485,2022-07-02 01:15:00+00:00,0.0,0.0,0.0,1.0,24.4,0.0,24.8,0.0,23.9,0.0,22.5,0.0,21.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0
486,2022-07-02 01:30:00+00:00,0.0,0.0,0.0,1.0,24.3,0.0,24.7,0.0,23.9,0.0,22.4,0.0,21.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0
487,2022-07-02 01:45:00+00:00,0.0,0.0,0.0,1.0,24.2,0.0,24.6,0.0,23.8,0.0,22.3,0.0,21.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0
488,2022-07-02 02:00:00+00:00,0.0,0.0,0.0,0.88,24.1,0.0,24.5,0.0,23.7,0.0,22.2,0.0,21.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0
